"species","breed_name","color","name","actual_card_num","sex","birth_date"
2,"МЕТИС","ЧЕРНЫЙ","АСЯ",5740,4,20110715
2,"СИБИРСКАЯ","СЕРЫЙ ТАББИ","ТИШКА",5737,4,20140301
2,"БРИТАНСКАЯ КОРОТКОШЕРСТНАЯ","ЧЕРЕПАХОВЫЙ","ЧИЧА",5736,2,20151106
2,"МЭЙН-КУН","ЧЕРНЫЙ ДЫМ","ГАРРИ",9821,1,20140601
2,"БРИТАНСКАЯ КОРОТКОШЕРСТНАЯ","ГОЛУБОЙ","БОННИ",5735,1,20151115
2,"МЕТИС","ЧЕРНЫЙ БИКОЛОР","МАРУСЯ",5734,4,20150815
1,"ПИНЧЕР ЦВЕРГ","РЫЖИЙ","ВИЛЬЯМ",5733,1,20151210
2,"МЕТИС","СЕРЕБР. ТАББИ","ПЕЛЬМЕНЬ",5732,1,20120425
1,"ТЕРЬЕР ЙОРКШИРСКИЙ","ПОРОДНЫЙ","СЕМА",5731,1,20080927
1,"ТЕРЬЕР ТОЙ РУССКИЙ ГЛАДКОШЕРСТНЫЙ","ПАЛЕВЫЙ","ЗЛАТИК",5730,1,20130929
1,"МЕТИС","ЧЕРНЫЙ","ЯРИК",5729,1,20151205
2,"БРИТАНСКАЯ КОРОТКОШЕРСТНАЯ","ГОЛУБОЙ","КОКС",5728,1,20151111
1,"ТАКСА СТАНДАРТНАЯ ГЛАДКОШЕРСТНАЯ","ЧЕРНЫЙ С ПОДПАЛ","ЖУЖА",5727,2,20140707
2,"СКОТТИШ-ФОЛД","ПЯТНИСТЫЙ","НЕТ",5725,1,20151111
2,"БРИТАНСКАЯ КОРОТКОШЕРСТНАЯ","ГОЛУБОЙ","ТОМ",5722,3,20150710
2,"МЕТИС","ЧЕРНЫЙ ДЫМ","МАРУСЯ",5721,2,20150525
2,"МЕТИС","СЕРЫЙ С БЕЛЫМ","КИСА",5720,2,20150512
2,"МЕТИС","ЧЕРНЫЙ","ДОРС",5489,1,20140812
2,"МЕТИС","СЕРЫЙ ТАББИ","ВАСИЛИСА",5719,4,20120312
2,"МЕТИС","КРАСНЫЙ БИКОЛОР","БАСЯ",5718,1,20150910
2,"ПЕРСИДСКАЯ","ШИНШИЛ","ТОСЯ",5716,4,20130210
2,"МЕТИС","СЕРЫЙ С БЕЛЫМ","МУРКА",5715,2,20150910
2,"МЕТИС","ЧЕРНЫЙ БИКОЛОР","АЛИСА",5494,2,20020512
1,"ТЕРЬЕР ЙОРКШИРСКИЙ","ПОРОДНЫЙ","ЙОРИК",5714,1,20151111
2,"МЕТИС","ЧЕРЕПАХОВ","МАРУСЯ",5713,1,20150925
2,"СФИНКС КАНАДСКИЙ","ЧЕРНЫЙ АРЛЕКИН","ИСИДА",5710,4,20141120
2,"МЕТИС","ВАН","МИЛА",5708,4,20150223
2,"БРИТАНСКАЯ КОРОТКОШЕРСТНАЯ","ЛИЛОВЫЙ","БОСС",5707,3,20151224
2,"МЕТИС","РЫЖИЙ С БЕЛЫМ","СКИФ",5536,1,20140602
1,"ТЕРЬЕР ЙОРКШИРСКИЙ","ПОРОДНЫЙ","БОНЯ",14541,2,20141015
2,"БРИТАНСКАЯ КОРОТКОШЕРСТНАЯ","КРЕМОВЫЙ","БАТОН",6505,1,20140718
1,"ТЕРЬЕР ВЕСТ-ХАЙЛЕНД-УАЙТ","БЕЛЫЙ","СНЕЖИНКА",3225,2,20100726
1,"МЕТИС","ЧЕПРАЧНЫЙ","КОНФЕТКА",573,2,20010308
1,"ТЕРЬЕР ЙОРКШИРСКИЙ","ПОРОДНЫЙ","ЖОРИК",5480,1,20140531
2,"МЕТИС","ЧЕРНЫЙ С БЕЛЫМ","МОЦАРТ",13735,3,20120829
1,"ТЕРЬЕР ЙОРКШИРСКИЙ","ПОРОДНЫЙ","МАРК",5021,1,20110801
2,"ПЕРСИДСКАЯ","КРЕМОВЫЙ","ФАНЯ",3185,1,20140807
1,"КИТАЙСКАЯ ХОХЛАТАЯ СОБАКА","ТРИКОЛОР","ДАСТИН",14394,1,20120827
2,"ЕВРОПЕЙСКАЯ КОРОТКОШЕРСТНАЯ","ЧЕРНЫЙ","МУРЧИК",339,3,20101215
1,"РЕТРИВЕР ЛАБРАДОР","ПАЛЕВЫЙ","ЗЕВС",5496,1,20130705
1,"ТЕРЬЕР ЯГД","ПОРОДНЫЙ","ГРАФ",5450,1,20120212
1,"ПЕКИНЕС","ПЕСОК","ЧИПА",3227,1,20120427
2,"БРИТАНСКАЯ КОРОТКОШЕРСТНАЯ","СЕРЕБ ЧЕРЕПАХ","ГРЕЙСИ",7122,2,20140422
2,"МЕТИС","ЧЕРНЫЙ","ПОЛИ",5102,2,20110412
2,"БОБТЕЙЛ КУРИЛЬСКИЙ","СЕРЫЙ ТАББИ","БАРС",4632,3,20130512
2,"БРИТАНСКАЯ КОРОТКОШЕРСТНАЯ","КРЕМОВЫЙ ТАББИ","ВАЙС",7830,1,20141128
2,"МЕТИС","СЕРЫЙ ТАББИ","ВАСЬКА",8841,3,20101212
1,"МЕТИС","РЫЖИЙ С БЕЛЫМ","КНОПА",5873,2,20080612
